#rho		xi			rho	ln(xi)			Rho^2	xi
0		0.5909276092		0	-0.5260617577		0	0.5909276092
0.2		0.8310332379		0.2	-0.1850854874		0.04	0.8310332379
0.4		0.5301349324		0.4	-0.6346237154		0.16	0.5301349324
0.6		1.0066894999		0.6	0.0066672245		0.36	1.0066894999
0.8		1.0345259187		0.8	0.0339432723		0.64	1.0345259187
1		1.6364000756		1	0.4924987533		1	1.6364000756
1.2		1.5547886444		1.2	0.4413396164		1.44	1.5547886444
1.4		2.0911205382		1.4	0.737700065		1.96	2.0911205382
1.6		2.7331498959		1.6	1.0054547521		2.56	2.7331498959
1.8		2.9338174439		1.8	1.0763044569		3.24	2.9338174439
2		3.4851757384		2	1.24851847		4	3.4851757384
2.2		4.5948824456		2.2	1.5249431724		4.84	4.5948824456
2.4		5.3332462546		2.4	1.6739601062		5.76	5.3332462546
2.6		6.6722902675		2.6	1.8979631694		6.76	6.6722902675
2.8		8.2156080804		2.8	2.1060357695		7.84	8.2156080804
3		9.8453040359		3	2.2869945939		9	9.8453040359
3.2		12.1483294556		3.2	2.497191667		10.24	12.1483294556
3.4		14.8377013126		3.4	2.6971713277		11.56	14.8377013126
3.6		18.2303314815		3.6	2.9030867718		12.96	18.2303314815

