#	             X^2	        sen	            y=ax+b
#	             X^2	        sen	            y=ax+b
0.7138794987	0.6779720388	1.2352563755	14.5768667552
2.69271967	8.8061060413	-0.1529845535	20.6960388682
4.3887127982	20.9876734206	-0.657262124	25.226332238
4.9599766592	28.4740293884	-0.5915956794	27.4493140591
6.2450408656	40.0295991662	0.9615504845	30.2421431907
7.2773327725	55.7801393364	1.1492274071	33.3783454199
7.5785347167	64.9044659194	1.6351250756	34.1952395692
7.7185608633	64.3944296998	1.4761791519	35.7153395832
7.9116623243	66.4116489661	1.7392047374	35.010810567
8.2796700345	74.6321588073	1.2491663402	37.5290144697
9.0335821453	87.4552274032	0.2003788893	40.5901771971
9.4416003115	94.7854795488	0.1459739262	39.1562668314
10.306268041	113.0304082967	-0.2309994095	43.2377948446
10.5723515851	111.9697873901	-0.5750153385	42.4058904046
11.1769703776	129.4810530889	0.1211214233	44.7957139193
15.3351997817	235.8050781156	0.4458825497	57.6109971199
17.0229465002	294.5331131723	-0.7797955907	63.8322121633
18.9258596068	372.0478809828	0.4997902629	68.0628928385
20.6082731858	426.5806326359	1.1180937859	74.4082131367
20.8759104833	456.390733391	1.0646261639	75.0826371917
21.0945829097	452.6604143258	1.084507734	75.2476577144
22.2253658669	507.7651363179	0.2711304761	77.2429703355
22.407462853	509.2746862334	-0.2300780892	81.0577886714
22.4689377844	521.4142091985	0.3938222733	78.8205798174
23.0773756932	554.1746879805	-0.198233977	80.7143284542
26.4206712926	700.7883930994	1.8689474469	91.4332070917
26.8625357514	732.6009159563	1.7241724025	91.7774274458
27.3602436623	773.2264505082	1.4520257363	93.2910324595


